sr,COMPANY NAME
1,"ACR Mining Corporation"
2,"Asian Hospital, Inc."
3,"BDO Network Bank, Inc."
4,"Beneficial Life Insurance Company, Inc."
5,"Cagayan Electric Power & Light Company, Inc."
6,Capitol Medical Center
7,"Cebu Doctors' University Hospital, Inc."
8,"Cebu Doctors' University, Inc."
9,China Bank Savings Inc.
10,Commonwealth Foods Inc.
11,"Davao Doctors Hospital (Clinica Hilario), Inc."
12,First Consolidated Bank
13,First Farmers Holding Inc.
14,"Guagua National Colleges, Inc."
15,"Hacienda Luisita, Inc."
16,Home Credit Mutual Bldg & Loan Ass
17,"Ionics EMS, Inc."
18,Kalahi Realty Inc.
19,Lucena United Doctors Incoporated
20,"Marsteel Consolidated, Inc."
21,"Mary Mediatrix Medical Center, Inc."
22,"Medical Doctors, Inc."
23,Mt. Matutum Medical Center
24,Philippine Veterans Bank
25,"Philtown Properties, Inc."
26,"Primetown Property Group, Inc."
27,Professional Services Inc.
28,"Southern Luzon Hospital & Medical Center, Inc."
29,"Tahanan Mutual Fund Building & Loan Ass. United Doctors Service Corp."
31,"University of Bohol, Inc."
32,University of the East
33,"UPSI Property Holdings, Inc."
